Episode;Season;Year;Title
tas_000;tas_s1;1973;Beyond The Farthest Star
tas_001;tas_s1;1973;Yesteryear
tas_002;tas_s1;1973;One Of Our Planets Is Missing
tas_003;tas_s1;1973;The Lorelei Signal
tas_004;tas_s1;1973;More Tribbles, More Troubles
tas_005;tas_s1;1973;The Survivor
tas_006;tas_s1;1973;The Infinite Vulcan
tas_007;tas_s1;1973;The Magicks Of Megas-Tu
tas_008;tas_s1;1973;Once Upon A Planet
tas_009;tas_s1;1973;Mudd's Passion
tas_010;tas_s1;1973;The Terratin Incident
tas_011;tas_s1;1973;The Time Trap
tas_012;tas_s1;1973;The Ambergris Element
tas_013;tas_s1;1973;The Slaver Weapon
tas_014;tas_s1;1974;The Eye Of The Beholder
tas_015;tas_s1;1974;The Jihad
tas_016;tas_s2;1974;The Pirates of Orion
tas_017;tas_s2;1974;Bem
tas_018;tas_s2;1974;The Practical Joker
tas_019;tas_s2;1974;Albatross
tas_020;tas_s2;1974;How Sharper Than A Serpent's Tooth
tas_021;tas_s2;1974;The Counter-Clock Incident
