Episode;Season;Year;Title
tng_000;tng_s1;1987;Encounter at Farpoint
tng_001;tng_s1;1987;The Naked Now
tng_002;tng_s1;1987;Code of Honor
tng_003;tng_s1;1987;The Last Outpost
tng_004;tng_s1;1987;Where No One Has Gone Before
tng_005;tng_s1;1987;Lonely Among Us
tng_006;tng_s1;1987;Justice
tng_007;tng_s1;1987;The Battle
tng_008;tng_s1;1987;Hide and Q
tng_009;tng_s1;1987;Haven
tng_010;tng_s1;1988;The Big Goodbye
tng_011;tng_s1;1988;Datalore
tng_012;tng_s1;1988;Angel One
tng_013;tng_s1;1988;11001001
tng_014;tng_s1;1988;Too Short a Season
tng_015;tng_s1;1988;When the Bough Breaks
tng_016;tng_s1;1988;Home Soil
tng_017;tng_s1;1988;Coming of Age
tng_018;tng_s1;1988;Heart of Glory
tng_019;tng_s1;1988;The Arsenal of Freedom
tng_020;tng_s1;1988;Symbiosis
tng_021;tng_s1;1988;Skin of Evil
tng_022;tng_s1;1988;We'll Always Have Paris
tng_023;tng_s1;1988;Conspiracy
tng_024;tng_s1;1988;The Neutral Zone
tng_025;tng_s2;1988;The Child
tng_026;tng_s2;1988;Where Silence Has Lease
tng_027;tng_s2;1988;Elementary, Dear Data
tng_028;tng_s2;1988;The Outrageous Okona
tng_029;tng_s2;1989;Loud as a Whisper
tng_030;tng_s2;1989;The Schizoid Man
tng_031;tng_s2;1989;Unnatural Selection
tng_032;tng_s2;1989;A Matter of Honor
tng_033;tng_s2;1989;The Measure of a Man
tng_034;tng_s2;1989;The Dauphin
tng_035;tng_s2;1989;Contagion
tng_036;tng_s2;1989;The Royale
tng_037;tng_s2;1989;Time Squared
tng_038;tng_s2;1989;The Icarus Factor
tng_039;tng_s2;1989;Pen Pals
tng_040;tng_s2;1989;Q Who
tng_041;tng_s2;1989;Samaritan Snare
tng_042;tng_s2;1989;Up the Long Ladder
tng_043;tng_s2;1989;Manhunt
tng_044;tng_s2;1989;The Emissary
tng_045;tng_s2;1989;Peak Performance
tng_046;tng_s2;1989;Shades of Gray
tng_047;tng_s3;1989;Evolution
tng_048;tng_s3;1989;The Ensigns of Command
tng_049;tng_s3;1989;The Survivors
tng_050;tng_s3;1989;Who Watches the Watchers
tng_051;tng_s3;1989;The Bonding
tng_052;tng_s3;1989;Booby Trap
tng_053;tng_s3;1989;The Enemy
tng_054;tng_s3;1989;The Price
tng_055;tng_s3;1989;The Vengeance Factor
tng_056;tng_s3;1990;The Defector
tng_057;tng_s3;1990;The Hunted
tng_058;tng_s3;1990;The High Ground
tng_059;tng_s3;1990;Deja Q
tng_060;tng_s3;1990;A Matter of Perspective
tng_061;tng_s3;1990;Yesterday's Enterprise
tng_062;tng_s3;1990;The Offspring
tng_063;tng_s3;1990;Sins of the Father
tng_064;tng_s3;1990;Allegiance
tng_065;tng_s3;1990;Captain's Holiday
tng_066;tng_s3;1990;Tin Man
tng_067;tng_s3;1990;Hollow Pursuits
tng_068;tng_s3;1990;The Most Toys
tng_069;tng_s3;1990;Sarek
tng_070;tng_s3;1990;Ménage à Troi
tng_071;tng_s3;1990;Transfigurations
tng_072;tng_s3;1990;The Best of Both Worlds, Part I
tng_073;tng_s4;1990;The Best of Both Worlds, Part II
tng_074;tng_s4;1990;Family
tng_075;tng_s4;1990;Brothers
tng_076;tng_s4;1990;Suddenly Human
tng_077;tng_s4;1990;Remember Me
tng_078;tng_s4;1990;Legacy
tng_079;tng_s4;1990;Reunion
tng_080;tng_s4;1990;Future Imperfect
tng_081;tng_s4;1990;Final Mission
tng_082;tng_s4;1990;The Loss
tng_083;tng_s4;1991;Data's Day
tng_084;tng_s4;1991;The Wounded
tng_085;tng_s4;1991;Devil's Due
tng_086;tng_s4;1991;Clues
tng_087;tng_s4;1991;First Contact
tng_088;tng_s4;1991;Galaxy's Child
tng_089;tng_s4;1991;Night Terrors
tng_090;tng_s4;1991;Identity Crisis
tng_091;tng_s4;1991;The Nth Degree
tng_092;tng_s4;1991;Qpid
tng_093;tng_s4;1991;The Drumhead
tng_094;tng_s4;1991;Half a Life
tng_095;tng_s4;1991;The Host
tng_096;tng_s4;1991;The Mind's Eye
tng_097;tng_s4;1991;In Theory
tng_098;tng_s4;1991;Redemption, Part I
tng_099;tng_s5;1991;Redemption, Part II
tng_100;tng_s5;1991;Darmok
tng_101;tng_s5;1991;Ensign Ro
tng_102;tng_s5;1991;Silicon Avatar
tng_103;tng_s5;1991;Disaster
tng_104;tng_s5;1991;The Game
tng_105;tng_s5;1991;Unification, Part I
tng_106;tng_s5;1991;Unification, Part II
tng_107;tng_s5;1991;A Matter of Time
tng_108;tng_s5;1991;New Ground
tng_109;tng_s5;1992;Hero Worship
tng_110;tng_s5;1992;Violations
tng_111;tng_s5;1992;The Masterpiece Society
tng_112;tng_s5;1992;Conundrum
tng_113;tng_s5;1992;Power Play
tng_114;tng_s5;1992;Ethics
tng_115;tng_s5;1992;The Outcast
tng_116;tng_s5;1992;Cause And Effect
tng_117;tng_s5;1992;The First Duty
tng_118;tng_s5;1992;Cost of Living
tng_119;tng_s5;1992;The Perfect Mate
tng_120;tng_s5;1992;Imaginary Friend
tng_121;tng_s5;1992;I, Borg
tng_122;tng_s5;1992;The Next Phase
tng_123;tng_s5;1992;The Inner Light
tng_124;tng_s5;1992;Time's Arrow, Part I
tng_125;tng_s6;1992;Time's Arrow, Part II
tng_126;tng_s6;1992;Realm of Fear
tng_127;tng_s6;1992;Man of the People
tng_128;tng_s6;1992;Relics
tng_129;tng_s6;1992;Schisms
tng_130;tng_s6;1992;True Q
tng_131;tng_s6;1992;Rascals
tng_132;tng_s6;1992;A Fistful of Datas
tng_133;tng_s6;1992;The Quality of Life
tng_134;tng_s6;1992;Chain of Command, Part I
tng_135;tng_s6;1992;Chain of Command, Part II
tng_136;tng_s6;1993;Ship in a Bottle
tng_137;tng_s6;1993;Aquiel
tng_138;tng_s6;1993;Face of the Enemy
tng_139;tng_s6;1993;Tapestry
tng_140;tng_s6;1993;Birthright, Part I
tng_141;tng_s6;1993;Birthright, Part II
tng_142;tng_s6;1993;Starship Mine
tng_143;tng_s6;1993;Lessons
tng_144;tng_s6;1993;The Chase
tng_145;tng_s6;1993;Frame of Mind
tng_146;tng_s6;1993;Suspicions
tng_147;tng_s6;1993;Rightful Heir
tng_148;tng_s6;1993;Second Chances
tng_149;tng_s6;1993;Timescape
tng_150;tng_s6;1993;Descent, Part I
tng_151;tng_s7;1993;Descent, Part II
tng_152;tng_s7;1993;Liaisons
tng_153;tng_s7;1993;Interface
tng_154;tng_s7;1993;Gambit, Part I
tng_155;tng_s7;1993;Gambit, Part II
tng_156;tng_s7;1993;Phantasms
tng_157;tng_s7;1993;Dark Page
tng_158;tng_s7;1993;Attached
tng_159;tng_s7;1993;Force of Nature
tng_160;tng_s7;1993;Inheritance
tng_161;tng_s7;1993;Parallels
tng_162;tng_s7;1994;The Pegasus
tng_163;tng_s7;1994;Homeward
tng_164;tng_s7;1994;Sub Rosa
tng_165;tng_s7;1994;Lower Decks
tng_166;tng_s7;1994;Thine Own Self
tng_167;tng_s7;1994;Masks
tng_168;tng_s7;1994;Eye of the Beholder
tng_169;tng_s7;1994;Genesis
tng_170;tng_s7;1994;Journey's End
tng_171;tng_s7;1994;Firstborn
