Episode;Season;Year;Title
tos_000;tos_s1;1966;The Cage
tos_001;tos_s1;1966;The Man Trap
tos_002;tos_s1;1966;Charlie X
tos_003;tos_s1;1966;Where No Man Has Gone Before
tos_004;tos_s1;1966;The Naked Time
tos_005;tos_s1;1966;The Enemy Within
tos_006;tos_s1;1966;Mudd's Women
tos_007;tos_s1;1966;What Are Little Girls Made Of?
tos_008;tos_s1;1966;Miri
tos_009;tos_s1;1966;Dagger of the Mind
tos_010;tos_s1;1966;The Corbomite Maneuver
tos_011;tos_s1;1966;The Menagerie, Part I
tos_012;tos_s1;1966;The Menagerie, Part II
tos_013;tos_s1;1966;The Conscience of the King
tos_014;tos_s1;1966;Balance of Terror
tos_015;tos_s1;1966;Shore Leave
tos_016;tos_s1;1966;The Galileo Seven
tos_017;tos_s1;1967;The Squire of Gothos
tos_018;tos_s1;1967;Arena
tos_019;tos_s1;1967;Tomorrow is Yesterday
tos_020;tos_s1;1967;Court Martial
tos_021;tos_s1;1967;The Return of the Archons
tos_022;tos_s1;1967;Space Seed
tos_023;tos_s1;1967;A Taste of Armageddon
tos_024;tos_s1;1967;This Side of Paradise
tos_025;tos_s1;1967;The Devil in the Dark
tos_026;tos_s1;1967;Errand of Mercy
tos_027;tos_s1;1967;The Alternative Factor
tos_028;tos_s1;1967;The City on the Edge of Forever
tos_029;tos_s1;1967;Operation -- Annihilate!
tos_030;tos_s2;1967;Amok Time
tos_031;tos_s2;1967;Who Mourns for Adonais
tos_032;tos_s2;1967;The Changelin
tos_033;tos_s2;1967;Mirror, Mirror
tos_034;tos_s2;1967;The Apple
tos_035;tos_s2;1967;The Doomsday Machine
tos_036;tos_s2;1967;Catspaw
tos_037;tos_s2;1967;I, Mudd
tos_038;tos_s2;1967;Metamorphosis
tos_039;tos_s2;1967;Journey to Babel
tos_040;tos_s2;1967;Friday's Child
tos_041;tos_s2;1967;The Deadly Years
tos_042;tos_s2;1967;Obsession
tos_043;tos_s2;1967;Wolf in the Fold
tos_044;tos_s2;1967;The Trouble with Tribbles
tos_045;tos_s2;1967;The Gamesters of Triskelion
tos_046;tos_s2;1968;A Piece of the Action
tos_047;tos_s2;1968;The Immunity Sydrome
tos_048;tos_s2;1968;A Private Little War
tos_049;tos_s2;1968;Return to Tomorrow
tos_050;tos_s2;1968;Patterns of Force
tos_051;tos_s2;1968;By Any Other Name
tos_052;tos_s2;1968;The Omega Glory
tos_053;tos_s2;1968;The Ultimate Computer
tos_054;tos_s2;1968;Bread and Circuses
tos_055;tos_s3;1968;Assignment: Earth
tos_056;tos_s3;1968;Spock's Brain
tos_057;tos_s3;1968;The Enterprise Incident
tos_058;tos_s3;1968;The Paradise Syndrome
tos_059;tos_s3;1968;And the Children Shall Lead
tos_060;tos_s3;1968;Is There in Truth No Beauty?
tos_061;tos_s3;1968;Spectre of the Gun
tos_062;tos_s3;1968;Day of the Dove
tos_063;tos_s3;1968;For the World is Hollow and I Have Touched the Sky
tos_064;tos_s3;1968;The Tholian Web
tos_065;tos_s3;1968;Plato's Stepchildren
tos_066;tos_s3;1968;Wink of an Eye
tos_067;tos_s3;1968;The Empath
tos_068;tos_s3;1968;Elaan of Troyius
tos_069;tos_s3;1968;Whom Gods Destroy
tos_070;tos_s3;1969;Let That Be Your Last Battlefield
tos_071;tos_s3;1969;The Mark of Gideon
tos_072;tos_s3;1969;That Which Survives
tos_073;tos_s3;1969;The Lights of Zetar
tos_074;tos_s3;1969;Requiem for Methuselah
tos_075;tos_s3;1969;The Way to Eden
tos_076;tos_s3;1969;The Cloud Minders
tos_077;tos_s3;1969;The Savage Curtain
tos_078;tos_s3;1969;All Our Yesterdays
tos_079;tos_s3;1969;Turnabout Intruder
