ABROM;m
ACHILLES;m
ADAM;m
ADAMS;m
ADMIRAL FITZGERALD;m
ADMIRAL FITZPATRICK;m
ADMIRAL KOMACK;m
AKAAR;m
AKUTA;m
ALDEN;m
ALEXANDER;m
ALICE;f
AMANDA;f
ANAN;m
ANDREA;f
ANDROIDS;n
ANGELA;f
ANKA;m
ANNOUNCER;m
APELLA;m
APOLLO;m
APPEL;m
ATKINS;f
ATOZ;m
AURELAN;f
AYELBORNE;m
BAILEY;m
BALOK;m
BARBER;m
BARIS;m
BARMAN;m
BARSTOW;m
BEHAN;m
BELE;m
BENTON;m
BERKELEY;m
BILAR;m
BLONDE GIRL;f
BLUESHIRT;m
BOMA;m
BOY;m
BOYCE;m
BRENT;m
BROWN;m
CAPTAIN;m
CARETAKER;m
CARLISLE;m
CAROLYN;f
CENTURION;m
CHAPEL;f
CHARLIE;m
CHEF;m
CHEKOV;m
CHIEF;m
CHILDRESS;m
CHRISTOPHER;m
CLAUDIUS;m
CLAYMARE;m
CLOUD;n
COCHRANE;m
COGLEY;m
COLEMAN;m
COLT;f
COMM OFFICER;m
COMPANION;n
COMPTON;m
COMPUTER;n
CORY;m
CRATER;m
CREWMAN;m
CREWWOMAN;f
CROMWELL;m
CYRANO JONES;m
DAILY;m
D'AMATO;m
DARAS;f
DARNELL;m
DARVIN;m
DAVOD;m
DAYSTROM;m
DECIUS;m
DECKER;m
DEELA;f
DEHNER;f
DEPAUL;m
DESALLE;m
DICKERSON;m
DIONIYDE;m
DOCTOR;m
DON;m
DREA;f
DRIVER;m
DROXINE;f
DRUSILLA;f
EDITH;f
EKOR;m
ELAAN;f
ELAINE;f
ELASIAN;m
ELDER;m
ELEEN;f
ELIAS;m
ENEG;m
ENGINEER;m
ENSIGN;m
ENWRIGHT;m
ERACLITUS;m
EVE;f
FARRELL;m
FATHER;m
FELLINI;m
FERRIS;m
FINNEGAN;m
FINNEY;m
FISHER;m
FLAVIUS;m
FLIGHT;m
FLINT;m
FOX;m
FREEMAN;m
GAETANO;m
GALLOWAY;m
GALT;m
GALWAY;f
GARISON;m
GARROVICK;m
GARTH;m
GAV;m
GELDER;m
GEOLOGIST;m
GILL;m
GIOTTO;m
GIRL;f
GORGAN;m
GORN;m
GOSSETT;m
GRANT;m
GREEN;m
GUARD;m
GUARDIAN;m
HACOM;m
HAINES;f
HAMLET;m
HANAR;m
HANSEN;m
HANSON;m
HARRISON;m
HASKINS;m
HENDORFF;m
HENGIST;m
HODIN;m
HOLLIDAY;m
HUMBOLDT;m
IRINA;f
ISAK;m
JACKSON;m
JAEGER;m
JAHN;m
JAILOR;m
JAMIE;f
JANICE LESTER;f
JANICE RAND;f
JARIS;m
JOACHIM;m
JOHNSON;m
JORDAN;m
JOSEPH;m
JUDGE;m
KAHLESS;m
KALO;m
KANG;m
KAPLAN;m
KARA;f
KAREN;f
KARIDIAN;m
KEEL;m
KEEPER;m
KELINDA;f
KELOWITZ;m
KELSO;m
KHAN;m
KIRK;m
KIRK2;m
KLINGON;m
KOLOTH;m
KOR;m
KORAX;m
KORBY;m
KOROB;m
KRAKO;m
KRAS;m
KRASNOVSKY;m
KRELL;m
KRODAK;m
KRYTON;m
KYLE;m
LAL;m
LANDRU;m
LARS;m
LATIMER;m
LAWGIVER;m
LAZARUS;m
LEIGHTON;m
LEILA;f
LEMLI;m
LENORE;f
LESLEY;m
LESLIE;m
LETHE;f
LINCOLN;m
LINDSTROM;m
LINKE;m
LIPTON;m
LOKAI;m
LOSIRA;f
LOSKENE;f
LUMA;f
LURRY;m
LYSA;m
M5;n
MAAB;m
MAGDA;f
MAGISTRATE;m
MAJOR;m
MAKORA;m
MALLORY;m
MAN;m
MARA;f
MARLA;f
MARLENA;f
MARPLON;m
MARTA;f
MARTHA LEIGHTON;f
MARTHA LANDON;f
MARVICK;m
MARY;f
MASTER;m
MASTERS;f
MATSON;m
MATTHEWS;m
MAXIMUS;m
M'BENGA;m
MCCOY;m
MEA;f
MEARS;f
MELAKON;m
MELKOT;n
MEN;m
MENDEZ;m
MERIK;m
METRON;m
MIDRO;m
MIKE;m
MIRA;f
MIRAMANEE;f
MIRANDA JONES;f
MIRI;f
MITCHELL;m
MONTGOMERY;m
MOODY;m
MORG;m
MORGAN;m
MORLA;m
MOTHER;f
MUDD;m
MULHALL;f
NANCY CRATER;f
NANCY HEDFORD;f
NATIRA;f
NAVIGATOR;m
NELLIS;m
NESVIG;m
NOEL;f
NOMAD;m
NONA;f
NORMAN;m
NUMBER ONE;f
NURSE;f
ODONA;f
OFFICER;m
O'HERLIHY;m
O'NEIL;m
ORACLE;f
ORION;f
OTHER KIRK;m
OXMYX;m
OZABA;m
PAINTER;m
PALMER;f
PARMEN;m
PETRI;m
PHILANA;f
PIKE;m
PIPER;f
PITCAIRN;m
PLASUS;m
POLICE;m
POLICEMAN;m
RABBIT;n
RAD;m
RAEL;m
RAHDA;f
RAMART;m
RAY;m
RAYBURN;m
RAYNA;f
RED HEAD BOY;m
REDSHIRT;m
REGER;m
RILEY;m
RIZZO;m
ROBERT;m
ROBERTA;f
ROCK;m
RODRIGUEZ;m
ROJAN;m
ROMULAN;m
ROMULAN COMMANDER 1;m
ROMULAN COMMANDER 2;f
ROSS;f
ROWE;m
RUK;m
RUTH;f
SALISH;m
SAM;m
SAR;m
SAREK;m
SARGON;n
SAYANA;f
SCHMITTER;m
SCOTT;m
SECURITY;m
SENTINEL;m
SEPTIMUS;m
SERGEANT;m
SEVEN;m
SEVRIN;m
SHAHNA;f
SHAW;f
SHRAS;m
SINGH;m
SIRAH;f
SMITH;f
SOLDIER;m
SPINELLI;m
SPOCK;m
STAGEHAND;m
STARBASE;m
STARNES;m
STELLA;f
STEVE;m
STILES;m
STOCKER;m
STONE;m
STONN;m
SULU;m
